Date;Industrial Production ;Industrial Electric Energy Consumption;Shipments of corrugated paper;Volume of Sales of the Retail Market ;Occupied employed population;Average Real Income of Workers
Apr/16;84.80000;13729.21845;277893.08460;84.10000;90852.65488;1973.44512
May/16;85.10000;13798.14782;268360.54229;84.00000;90693.08263;1965.54863
Jun/16;86.60000;13774.37472;276521.26130;83.30000;90483.77078;1968.00625
Jul/16;86.70000;13984.14037;285754.39646;82.90000;90107.76007;1980.81797
Aug/16;83.80000;13752.30887;276191.05893;81.50000;89904.77146;1989.40743
Sep/16;84.40000;13767.57961;272178.47793;81.70000;89740.13590;1993.77460
Oct/16;83.40000;13617.19740;269844.70147;81.50000;89622.07135;1993.91950
Nov/16;83.70000;13618.21660;271611.26794;81.80000;89743.46611;1994.01610
Dec/16;85.80000;13619.41758;279612.77479;82.00000;90140.44488;1994.06440
Jan/17;85.60000;13900.19693;285457.34176;84.30000;89289.27574;2035.91950
Feb/17;85.70000;13615.14363;282605.23584;85.50000;89533.91132;2009.01610
