termo;definicao
Balança comercial;É a diferença entre o valor total das exportações e importações do país.
Balanço de pagamentos;O Balanço de pagamentos é o registro contábil de todas as transações de um país com outros países do mundo.
COPOM;O Comitê de Política Monetária, ou Copom, é o órgão decisório da política monetária do Banco Central do Brasil, responsável por estabelecer a meta para a taxa Selic.
Expectativas;Valores informados pelas instituições para cada indicador como projeções futuras.
Fiscal;Compreende as expectativas para o resultado primário do setor público consolidado, o resultado nominal e a relação dívida líquida do setor público/PIB.
IGP-DI;O Índice Geral de Preços - Disponibilidade Interna, da FGV, reflete as variações de preços de todo o mês de referência. Ou seja, do dia 1 ao 30 de cada mês. Ele é formado pelo IPA (Índice de Preços por Atacado), IPC (Índice de Preços ao Consumidor) e INCC (Índice Nacional do Custo da Construção), com pesos de 60%, 30% e 10%, respectivamente. O indicador apura as variações de preços de matérias-primas agrícolas e industriais no atacado e de bens e serviços finais no consumo.
IGP-M;Índice Geral de Preços do Mercado, também da FGV. Metodologia igual à do IGP-DI, mas pesquisado entre os dias 21 de um mês e 20 do seguinte. O IGP tradicional abrange o mês fechado. O IGP-M é elaborado para contratos do mercado financeiro.
Inflação acumulada nos próximos 12 meses;É o acúmulo das variações dos índices de preços para os próximos 12 meses.
Inflação acumulada nos próximos 12 meses - suavizada;É a variação acumulada das projeções de um índice de preços para os próximos 12 meses (no formato 1+taxa), multiplicada pela razão entre a expectativa da variação do índice para o 13º mês à frente (que será o próximo a entrar no cálculo da variação em doze meses, quando da mudança de período móvel) e a expectativa da variação do índice do primeiro mês do período de 12 meses, que sairá do cálculo quando da mudança de período móvel, ambas no formato 1+taxa, razão esta elevada ao expoente representado pelo quociente entre o número de dias transcorridos no período desde a divulgação do último índice mensal e o número total de dias do período.
INPC;O Índice Nacional de Preços ao Consumidor é calculado pelo Instituto Brasileiro de Geografia e Estatística (IBGE). Considera a variação dos preços em 11 regiões: Rio, São Paulo, Belo Horizonte, Brasília, Porto Alegre, Curitiba, Belém, Fortaleza, Salvador, Recife e Goiânia. Tem como base o orçamento de famílias com renda mensal entre um e oito salários mínimos.
IPA-DI;O Índice de Preços por Atacado - Disponibilidade Interna, tem por objetivo medir o ritmo evolutivo de preços praticados no nível de comercialização atacadista, nas transações interempresariais, quer dizer, nas operações de comercialização a grosso, que antecedem as vendas no varejo. A pesquisa é realizada do dia 1 ao 30 de cada mês.
IPA-M;O Índice de Preços por Atacado do Mercado tem metodologia igual à do IPA-DI, mas pesquisado entre os dias 21 de um mês e 20 do seguinte.
IPCA;O Índice Nacional de Preços ao Consumidor Amplo verifica as variações dos custos com os gastos das pessoas que ganham de um a quarenta salários mínimos nas regiões metropolitanas de Belém, Belo Horizonte, Curitiba, Fortaleza, Porto Alegre, Recife, Rio de Janeiro, Salvador, São Paulo, município de Goiânia e Distrito Federal. O IPCA mede a variação dos custos dos gastos conforme acima descrito no período do primeiro ao último dia de cada mês de referência. No período do dia onze ao dia vinte do mês seguinte o IBGE divulga as variações.
IPCA-15;O IPCA-15 mede a variação dos custos dos gastos, conforme descrito no IPCA, no período aproximado do dia 15 de um mês ao dia 15 do mês subseqüente.
IPC-Fipe;Índice de Preços ao Consumidor da Fundação Instituto de Pesquisas Econômicas, da USP, pesquisado no município de São Paulo. Reflete o custo de vida de famílias com renda de 1 a 20 salários mínimos. Divulga também taxas quadrissemanais.
Master;Funcionário da instituição responsável pelo controle de acesso ao Sisbacen.
Meta para a taxa over-selic;A taxa de juros Over-Selic é fixada pelas autoridades monetárias e tem o papel de sinalizar para os agentes econômicos o nível básico de remuneração dos títulos federais. Seu nível efetivo é definido pela média ponderada do volume diário das operações lastreadas em títulos públicos federais de curto, médio e longo prazo no tempo presente. Tais títulos são emitidos pelo Tesouro ou pelo Banco Central, negociados e registrados pelo Serviço Especial de liquidação e Custódia, Selic, na forma de operações compromissadas. Notadamente a taxa de juros Over-Selic tem a função de orientar as demais taxas de juros de curto prazo da economia, agindo como um limite mínimo.
PIB agropecuária;Indicador que mede a produção de um país levando em conta a agropecuária, formado por agricultura extrativa vegetal e pecuária.
PIB indústria;Indicador que mede a produção de um país levando em conta a indústria, que engloba áreas extrativa mineral, de transformação, serviços industriais de utilidade pública e construção civil.
PIB serviços;Indicador que mede a produção de um país levando em conta serviços, que incluem comércio, transporte, comunicação, serviços da administração pública e outros.
PIB total;É a soma de todas as riquezas produzidas por um país em um determinado intervalo de tempo, geralmente de um ano. O PIB total é expresso em valores do ano analisado.
Preços administrados por contrato e monitorados;Preços administrados por contrato e monitorados são aqueles cuja sensibilidade a fatores de oferta e demanda é menor, o que não implica, necessariamente, serem diretamente regulados pelo governo.
Produção industrial;O Índice de Produção Industrial é divulgado mensalmente e se baseia na Pesquisa Industrial Mensal de Produção Física, cuja amostra é selecionada com base nas informações da Pesquisa Industrial Anual de Empresa e que cobre 63% do valor da transformação industrial das atividades das indústrias extrativas e de transformação. A amostra é composta de 3.725 unidades locais e 824 produtos.
Ranking Top 5;"Sistema de classificação das instituições baseado no índice de acerto de suas projeções de curto, médio e longo prazo. As medianas das variáveis projetadas pelas cinco instituições que mais acertam (as Top 5) são divulgadas no ""Relatório de Mercado"", buscando prover informações com diferencial de qualidade."
Taxa de câmbio;É a relação de valor entre duas moedas. A Taxa de Câmbio indica o preço, em moeda nacional, de uma moeda estrangeira.
