Data;Indicador de Incerteza da Economia Brasil (IIE-Br)(1428452)
01/2000;84,800
02/2000;84,600
03/2000;82,100
04/2000;91,900
05/2000;84,100
06/2000;88,400
07/2000;81,800
08/2000;83,600
09/2000;85,000
10/2000;87,300
11/2000;81,000
12/2000;84,100
01/2001;89,300
02/2001;85,400
03/2001;87,500
04/2001;86,600
05/2001;85,300
06/2001;98,100
07/2001;94,100
08/2001;86,900
09/2001;111,100
10/2001;104,300
11/2001;94,200
12/2001;99,700
01/2002;110,100
02/2002;97,200
03/2002;102,000
04/2002;92,000
05/2002;101,100
06/2002;104,600
07/2002;107,200
08/2002;121,900
09/2002;107,400
10/2002;116,100
11/2002;121,400
12/2002;115,700
01/2003;111,800
02/2003;102,600
03/2003;100,100
04/2003;90,500
05/2003;105,600
06/2003;95,900
07/2003;100,700
08/2003;95,500
09/2003;90,500
10/2003;94,400
11/2003;93,800
12/2003;91,500
01/2004;94,800
02/2004;88,300
03/2004;96,300
04/2004;106,200
05/2004;92,800
06/2004;88,900
07/2004;88,700
08/2004;87,700
09/2004;87,900
10/2004;84,200
11/2004;85,300
12/2004;85,300
01/2005;89,400
02/2005;89,200
03/2005;89,500
04/2005;93,600
05/2005;94,800
06/2005;98,100
07/2005;97,500
08/2005;95,700
09/2005;94,700
10/2005;92,300
11/2005;98,600
12/2005;87,500
01/2006;91,500
02/2006;87,300
03/2006;91,400
04/2006;89,400
05/2006;96,700
06/2006;97,000
07/2006;91,500
08/2006;88,800
09/2006;93,700
10/2006;95,100
11/2006;89,000
12/2006;95,000
01/2007;88,300
02/2007;91,300
03/2007;85,600
04/2007;89,900
05/2007;91,300
06/2007;95,300
07/2007;88,700
08/2007;98,900
09/2007;97,300
10/2007;93,600
11/2007;94,100
12/2007;94,700
01/2008;101,700
02/2008;95,000
03/2008;93,900
04/2008;92,000
05/2008;91,600
06/2008;95,500
07/2008;93,700
08/2008;89,900
09/2008;99,700
10/2008;135,600
11/2008;129,400
12/2008;119,200
01/2009;120,200
02/2009;121,400
03/2009;126,000
04/2009;117,000
05/2009;113,000
06/2009;116,700
07/2009;111,300
08/2009;109,400
09/2009;106,600
10/2009;103,200
11/2009;99,700
12/2009;95,300
01/2010;97,100
02/2010;98,600
03/2010;93,800
04/2010;90,600
05/2010;100,600
06/2010;96,200
07/2010;94,900
08/2010;92,300
09/2010;95,700
10/2010;90,600
11/2010;95,100
12/2010;90,000
01/2011;92,500
02/2011;93,800
03/2011;92,400
04/2011;92,800
05/2011;92,600
06/2011;99,900
07/2011;100,300
08/2011;127,600
09/2011;119,800
10/2011;115,900
11/2011;114,700
12/2011;115,600
01/2012;113,000
02/2012;106,400
03/2012;101,100
04/2012;103,600
05/2012;107,500
06/2012;114,100
07/2012;114,700
08/2012;105,800
09/2012;103,400
10/2012;99,400
11/2012;97,300
12/2012;99,800
01/2013;100,200
02/2013;96,500
03/2013;97,500
04/2013;98,800
05/2013;97,900
06/2013;109,700
07/2013;109,000
08/2013;101,100
09/2013;103,700
10/2013;98,900
11/2013;93,900
12/2013;91,000
01/2014;96,000
02/2014;100,600
03/2014;101,600
04/2014;103,900
05/2014;91,500
06/2014;103,400
07/2014;95,500
08/2014;105,600
09/2014;106,200
10/2014;107,900
11/2014;107,400
12/2014;109,300
01/2015;109,800
02/2015;103,000
03/2015;117,400
04/2015;116,900
05/2015;116,800
06/2015;124,000
07/2015;136,300
08/2015;143,800
09/2015;145,700
10/2015;132,300
11/2015;122,700
12/2015;124,900
01/2016;124,900
02/2016;128,800
03/2016;136,200
04/2016;141,600
05/2016;136,100
06/2016;137,900
07/2016;138,000
08/2016;124,400
09/2016;120,600
10/2016;120,800
11/2016;126,400
12/2016;136,400
01/2017;127,300
02/2017;118,800
