Data;Value
jan/96;65.8
fev/96;65.6
mar/96;65.5
abr/96;67.4
mai/96;67.8
jun/96;68.1
jul/96;70.5
ago/96;69.7
set/96;69.3
out/96;69.5
nov/96;71.3
dez/96;70.3
jan/97;73.3
fev/97;72.5
mar/97;73.9
abr/97;74.8
mai/97;75.9
jun/97;76.5
jul/97;75.9
ago/97;75.0
set/97;75.0
out/97;73.7
nov/97;71.8
dez/97;69.8
jan/98;69.5
fev/98;71.2
mar/98;71.5
abr/98;72.7
mai/98;70.8
jun/98;70.7
jul/98;70.3
ago/98;65.8
set/98;66.4
out/98;63.0
nov/98;65.2
dez/98;63.7
jan/99;64.4
fev/99;63.7
mar/99;64.6
abr/99;64.5
mai/99;65.1
jun/99;66.2
jul/99;65.8
ago/99;66.1
set/99;66.8
out/99;67.7
nov/99;68.4
dez/99;69.4
jan/00;69.3
fev/00;71.5
mar/00;72.0
abr/00;71.2
mai/00;70.7
jun/00;71.7
jul/00;72.6
ago/00;73.6
set/00;72.1
out/00;71.6
nov/00;71.2
dez/00;73.0
jan/01;73.4
fev/01;73.5
mar/01;72.4
abr/01;70.9
mai/01;69.6
jun/01;68.3
jul/01;66.0
ago/01;66.4
set/01;64.9
out/01;65.2
nov/01;67.6
dez/01;68.1
jan/02;68.9
fev/02;70.0
mar/02;70.3
abr/02;69.9
mai/02;68.4
jun/02;66.0
jul/02;65.8
ago/02;65.2
set/02;65.8
out/02;65.1
nov/02;64.8
dez/02;64.7
jan/03;66.2
fev/03;64.8
mar/03;65.4
abr/03;66.6
mai/03;66.8
jun/03;66.4
jul/03;66.3
ago/03;67.7
set/03;69.8
out/03;71.9
nov/03;72.3
dez/03;73.3
jan/04;74.4
fev/04;73.6
mar/04;74.1
abr/04;73.5
mai/04;73.7
jun/04;74.3
jul/04;75.5
ago/04;75.2
set/04;75.7
out/04;75.4
nov/04;75.7
dez/04;76.1
jan/05;75.8
fev/05;77.0
mar/05;76.5
abr/05;76.2
mai/05;76.2
jun/05;75.9
jul/05;76.7
ago/05;76.4
set/05;76.8
out/05;77.0
nov/05;78.3
dez/05;79.7
jan/06;81.2
fev/06;81.9
mar/06;81.1
abr/06;82.2
mai/06;80.8
jun/06;81.2
jul/06;82.8
ago/06;82.7
set/06;83.3
out/06;84.6
nov/06;85.7
dez/06;87.4
jan/07;87.3
fev/07;87.6
mar/07;88.4
abr/07;88.4
mai/07;89.1
jun/07;89.7
jul/07;89.5
ago/07;90.1
set/07;91.5
out/07;93.1
nov/07;92.8
dez/07;93.1
jan/08;93.1
fev/08;93.2
mar/08;92.7
abr/08;91.2
mai/08;93.7
jun/08;92.5
jul/08;91.6
ago/08;92.9
set/08;91.2
out/08;86.2
nov/08;82.0
dez/08;80.0
jan/09;81.5
fev/09;82.7
mar/09;84.1
abr/09;86.9
mai/09;88.2
jun/09;90.1
jul/09;91.3
ago/09;92.4
set/09;94.5
out/09;95.3
nov/09;96.2
dez/09;97.6
jan/10;98.2
fev/10;98.3
mar/10;99.3
abr/10;98.7
mai/10;99.3
jun/10;98.7
jul/10;99.5
ago/10;100.3
set/10;101.7
out/10;101.9
nov/10;102.0
dez/10;102.2
jan/11;102.1
fev/11;102.8
mar/11;101.8
abr/11;101.7
mai/11;101.6
jun/11;101.8
jul/11;101.8
ago/11;101.5
set/11;100.3
out/11;101.6
nov/11;101.5
dez/11;101.9
jan/12;101.7
fev/12;102.0
mar/12;102.8
abr/12;103.6
mai/12;103.8
jun/12;103.1
jul/12;103.7
ago/12;104.1
set/12;104.8
out/12;104.8
nov/12;104.7
dez/12;105.2
jan/13;105.4
fev/13;104.5
mar/13;105.2
abr/13;105.0
mai/13;104.9
jun/13;104.2
jul/13;102.4
ago/13;103.6
set/13;104.3
out/13;103.5
nov/13;103.4
dez/13;103.4
jan/14;103.1
fev/14;102.7
mar/14;102.4
abr/14;102.3
mai/14;100.6
jun/14;99.3
jul/14;101.2
ago/14;100.7
set/14;100.7
out/14;100.2
nov/14;98.4
dez/14;97.9
jan/15;96.7
fev/15;95.6
mar/15;94.7
abr/15;94.0
mai/15;93.8
jun/15;93.4
jul/15;93.1
ago/15;92.0
set/15;90.3
out/15;91.3
nov/15;90.9
dez/15;91.2
jan/16;91.0
fev/16;91.4
mar/16;92.4
abr/16;93.1
mai/16;95.7
jun/16;97.5
jul/16;99.9
ago/16;100.1
set/16;101.4
out/16;101.4
nov/16;103.1
dez/16;101.7
jan/17;105.3
fev/17;106.7
mar/17;108.7
