Data;PIB;Consumo das Fam¡lias;Consumo do Governo;Forma‡Æo Bruta de Capital Fixo;Exporta‡Æo;Importa‡Æo
jan/00;60,159;39,102;12,591;10,923;4,892;4,987
fev/00;62,729;39,062;12,655;11,812;5,845;5,286
mar/00;64,911;40,168;12,693;12,245;6,017;5,834
abr/00;63,460;39,115;12,786;11,827;5,341;5,084
mai/00;65,694;41,170;12,828;13,257;6,787;6,394
jun/00;65,443;41,557;12,753;13,053;6,210;6,622
jul/00;67,287;41,333;12,614;12,350;6,289;6,716
ago/00;68,288;42,803;12,753;13,344;7,293;7,298
set/00;65,959;41,657;12,678;12,556;6,791;6,711
out/00;67,803;43,464;13,261;13,333;6,079;7,014
nov/00;67,394;43,688;13,173;13,371;5,844;6,988
dez/00;65,983;42,859;13,130;11,761;6,157;7,014
jan/01;63,207;40,786;12,795;12,455;5,991;6,331
fev/01;63,093;40,004;12,626;12,390;5,633;6,891
mar/01;68,025;42,305;12,930;13,718;7,004;6,797
abr/01;65,896;41,198;13,024;12,688;6,318;6,238
mai/01;67,601;42,799;13,082;13,721;7,425;7,022
jun/01;65,625;41,612;13,122;12,505;7,130;7,161
jul/01;68,139;41,206;13,095;12,938;6,894;6,892
ago/01;68,563;41,873;13,197;13,375;7,480;7,174
set/01;65,762;40,418;13,085;12,393;6,614;5,582
out/01;67,932;41,982;13,689;12,546;6,792;6,623
nov/01;67,197;41,742;13,661;12,456;6,477;6,097
dez/01;64,980;43,881;13,637;10,601;6,575;5,669
jan/02;63,822;40,767;13,620;11,755;6,335;5,381
fev/02;64,414;40,377;13,554;11,487;5,161;5,479
mar/02;67,016;42,244;12,814;12,265;6,280;5,439
abr/02;68,764;42,227;13,572;12,704;6,586;5,883
mai/02;67,856;42,488;13,683;12,647;6,206;5,758
jun/02;67,079;41,767;13,590;11,899;5,770;5,405
jul/02;70,384;42,247;13,426;12,910;8,668;6,868
ago/02;70,803;42,938;13,832;12,810;7,868;5,675
set/02;69,730;41,661;13,764;12,811;8,679;5,413
out/02;71,839;42,905;14,200;13,469;8,955;5,763
nov/02;70,569;42,507;14,224;13,154;7,337;5,535
dez/02;68,052;44,270;13,691;11,684;7,693;5,438
jan/03;64,817;41,396;13,411;12,165;6,556;5,070
fev/03;66,387;40,549;13,187;12,127;6,812;5,240
mar/03;69,256;41,421;13,090;12,323;7,015;5,232
abr/03;69,466;41,190;13,578;11,632;7,492;5,516
mai/03;68,536;41,799;13,642;11,895;8,399;5,684
jun/03;67,288;40,913;13,730;11,180;7,758;5,145
jul/03;70,724;41,565;13,955;11,826;7,988;5,510
ago/03;70,209;41,852;13,776;11,691;8,266;5,426
set/03;71,304;42,499;14,115;12,361;9,357;6,357
out/03;72,193;43,791;14,801;13,311;9,253;8,968
nov/03;70,614;42,307;14,828;12,245;7,581;4,677
dez/03;68,893;44,349;14,477;10,879;8,482;4,882
jan/04;66,767;41,168;13,593;12,343;7,350;5,586
fev/04;67,393;40,092;13,629;11,502;7,110;4,913
mar/04;74,074;43,224;13,914;13,103;9,641;6,641
abr/04;72,725;41,747;14,353;12,732;7,688;5,850
mai/04;72,572;43,120;14,548;12,971;8,790;5,811
jun/04;72,944;42,887;14,694;13,148;10,253;6,690
jul/04;75,637;43,977;14,480;13,532;9,644;6,363
ago/04;75,702;44,029;14,695;13,877;9,803;6,662
set/04;74,819;44,064;14,479;13,556;9,674;6,512
out/04;75,154;44,375;14,929;13,198;9,613;6,310
nov/04;75,368;45,241;15,006;13,398;9,264;6,705
dez/04;74,323;49,468;14,726;12,464;9,872;6,681
jan/05;70,186;43,669;14,022;12,657;8,319;6,033
fev/05;70,232;41,970;14,037;11,747;8,476;5,933
mar/05;76,529;45,466;14,603;13,048;9,689;6,703
abr/05;76,736;43,881;14,551;13,133;9,458;5,855
mai/05;75,605;44,886;14,754;13,372;9,963;7,128
jun/05;75,666;45,108;14,547;13,530;10,286;6,894
jul/05;76,583;45,668;14,592;13,333;10,798;6,427
ago/05;78,312;46,578;14,973;14,347;11,271;7,660
set/05;76,045;45,616;14,836;13,640;10,228;6,958
out/05;76,439;45,792;15,312;13,404;9,574;6,582
nov/05;76,568;46,313;15,155;13,802;10,199;7,028
dez/05;76,672;51,589;15,144;12,860;10,926;7,097
jan/06;73,666;45,994;14,368;13,417;9,317;6,740
fev/06;73,409;44,181;14,627;12,890;8,534;6,285
mar/06;79,156;47,390;14,933;14,441;10,882;8,405
abr/06;76,577;46,093;15,075;13,107;9,245;7,061
mai/06;78,833;48,221;14,937;14,450;9,741;7,625
jun/06;77,803;47,320;14,885;13,922;10,208;7,790
jul/06;80,204;47,556;15,094;14,341;12,070;8,323
ago/06;81,750;49,081;15,329;15,087;11,780;9,093
set/06;79,362;48,519;15,119;14,269;10,921;7,904
out/06;80,542;48,562;16,235;14,941;10,814;8,754
nov/06;80,638;49,073;16,157;14,946;10,516;8,810
dez/06;79,514;53,428;16,054;13,645;10,926;7,771
jan/07;77,564;48,623;14,952;14,495;10,081;8,479
fev/07;76,984;46,708;15,272;13,738;9,194;7,481
mar/07;83,434;50,979;15,609;15,449;11,046;9,618
abr/07;81,280;49,033;15,914;14,792;10,701;7,871
mai/07;83,871;50,927;16,014;16,117;11,390;9,119
jun/07;83,308;50,416;15,933;15,728;10,851;9,438
jul/07;85,249;50,506;15,932;16,583;11,681;10,196
ago/07;86,721;52,104;15,962;17,379;12,233;10,487
set/07;83,513;50,953;15,867;15,954;11,265;9,544
out/07;86,947;52,532;16,473;17,222;12,242;9,186
nov/07;85,613;52,535;16,215;16,906;10,963;9,117
dez/07;84,116;56,791;16,108;15,348;11,021;12,520
jan/08;82,608;52,466;14,599;16,658;10,466;10,508
fev/08;83,427;51,049;16,416;15,687;9,689;9,840
mar/08;86,602;53,268;16,181;16,590;9,634;9,187
abr/08;87,637;52,625;15,910;17,371;10,260;9,522
mai/08;87,983;54,377;16,008;17,636;12,775;11,491
jun/08;88,582;53,954;16,163;17,988;11,849;11,649
jul/08;91,915;55,240;16,341;19,590;12,691;12,279
ago/08;91,036;55,449;16,721;19,654;11,844;11,942
