Data;ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212);ISA Com Ajuste Sazonal - Índice de Confiança da Indústria - Situação Atual (CNAE 2.0)(1416213);IE Com Ajuste Sazonal - Índice de Confiança da Indústria - Expectativas (CNAE 2.0)(1416214);Sondagem Industrial - Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal (CNAE 2.0)(1416215);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ISA-S Com Ajuste Sazonal - Índice da Situação Atual de Serviços (CNAE 2.0)(1416218);IE-S Com Ajuste Sazonal - Índice de Expectativas de Serviços (CNAE 2.0)(1416219);Sondagem de Serviços – Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal(1428410);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ISA-COM Com ajuste Sazonal-Índice da Situação Atual do Varejo Ampliado (CNAE 2.0)(1416227);IE-COM Com ajuste Sazonal-Índice de Expectativas do Varejo Ampliado (CNAE 2.0)(1416228);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);Índice de Confiança do Consumidor - Situação Presente com Ajuste Sazonal(1006983);Índice de Confiança do Consumidor - Expectativas com Ajuste Sazonal(1006984);Indicador de Expectativa de Inflação dos Consumidores(1416188);Indicador Coincidente de Emprego (ICD) com ajuste sazonal(1416204);Indicador Antecedente de Emprego (IA Emp) com ajuste sazonal(1416205)
jan/01;106,5;107,9;105;82,1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
fev/01;104,2;103,7;104,8;82,2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mar/01;103,3;100,9;105,5;82,3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
abr/01;101,2;96,8;105,6;82,4; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mai/01;96,8;94,5;99;81,3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jun/01;92,3;91,2;93,4;80,3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jul/01;89,2;89,6;88,9;79,2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
ago/01;87;85;89,2;78,7; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
set/01;85,2;82;88,6;78,2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
out/01;82,9;78;88;77,8; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
nov/01;86,8;84,8;89;78,4; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
dez/01;92,6;90,4;94,8;79; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jan/02;100,2;97,5;102,8;79,7; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
fev/02;99,5;96;102,8;79,5; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mar/02;99,3;95;103,5;79,3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
abr/02;99,9;94,4;105,3;79,1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mai/02;96,2;90,5;101,9;78,7; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jun/02;93;86;99,9;78,3; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jul/02;90,7;83,6;97,8;77,9; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
ago/02;91,9;86,7;97,1;77,8; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
set/02;93,7;91,1;96,2;77,6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
out/02;95,4;94,5;96,1;77,6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
nov/02;96,9;97,7;96,2;78,6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
dez/02;99,9;101,1;98,6;79,5; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jan/03;103,5;104,7;102,1;80,5; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
fev/03;100;99,7;100,3;80,4; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mar/03;97,6;95,4;99,8;80,1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
abr/03;94,5;90,1;99;80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
mai/03;90,1;85,2;95;79,2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jun/03;85,7;79,2;92,2;78,4; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jul/03;82,2;74,9;89,6;77,6; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
ago/03;87,7;80,4;95,1;78,2; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
set/03;94;87,7;100,4;78,8; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
out/03;100;93,6;106,3;79,5; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
nov/03;101,6;96,8;106,4;80; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
dez/03;104,1;99,8;108,2;80,5; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
jan/04;106,8;102,9;110,6;81,1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
fev/04;105,9;103,3;108,3;81,1; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - 
