Data;ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212);ISA Com Ajuste Sazonal - Índice de Confiança da Indústria - Situação Atual (CNAE 2.0)(1416213);IE Com Ajuste Sazonal - Índice de Confiança da Indústria - Expectativas (CNAE 2.0)(1416214)
01/2001;106,500;107,900;105,000
02/2001;104,200;103,700;104,800
03/2001;103,300;100,900;105,500
04/2001;101,200;96,800;105,600
05/2001;96,800;94,500;99,000
06/2001;92,300;91,200;93,400
07/2001;89,200;89,600;88,900
08/2001;87,000;85,000;89,200
09/2001;85,200;82,000;88,600
10/2001;82,900;78,000;88,000
11/2001;86,800;84,800;89,000
12/2001;92,600;90,400;94,800
01/2002;100,200;97,500;102,800
02/2002;99,500;96,000;102,800
03/2002;99,300;95,000;103,500
04/2002;99,900;94,400;105,300
05/2002;96,200;90,500;101,900
06/2002;93,000;86,000;99,900
07/2002;90,700;83,600;97,800
08/2002;91,900;86,700;97,100
09/2002;93,700;91,100;96,200
10/2002;95,400;94,500;96,100
11/2002;96,900;97,700;96,200
12/2002;99,900;101,100;98,600
01/2003;103,500;104,700;102,100
02/2003;100,000;99,700;100,300
03/2003;97,600;95,400;99,800
04/2003;94,500;90,100;99,000
05/2003;90,100;85,200;95,000
06/2003;85,700;79,200;92,200
07/2003;82,200;74,900;89,600
08/2003;87,700;80,400;95,100
09/2003;94,000;87,700;100,400
10/2003;100,000;93,600;106,300
11/2003;101,600;96,800;106,400
12/2003;104,100;99,800;108,200
01/2004;106,800;102,900;110,600
02/2004;105,900;103,300;108,300
03/2004;106,300;104,700;107,700
04/2004;105,400;104,500;106,300
05/2004;107,400;106,100;108,500
06/2004;108,900;107,000;110,900
07/2004;110,700;108,600;112,700
08/2004;111,100;109,900;112,100
09/2004;111,700;111,800;111,500
10/2004;112,400;113,600;111,200
11/2004;110,100;111,300;108,700
12/2004;108,800;109,800;107,800
01/2005;107,500;107,100;107,900
02/2005;105,000;103,300;106,700
03/2005;103,300;100,300;106,300
04/2005;101,600;96,800;106,400
05/2005;99,100;95,600;102,600
06/2005;96,700;93,400;100,000
07/2005;95,100;92,500;97,800
08/2005;95,100;93,100;97,300
09/2005;95,500;94,500;96,300
10/2005;95,400;95,300;95,500
11/2005;95,500;96,500;94,400
12/2005;98,100;97,000;99,200
01/2006;100,200;100,500;100,000
02/2006;100,600;101,000;100,200
03/2006;101,400;101,600;101,200
04/2006;103,100;103,100;102,900
05/2006;100,000;97,800;102,000
06/2006;99,800;97,700;101,800
07/2006;101,300;99,300;103,300
08/2006;99,400;98,000;100,700
09/2006;101,100;100,600;101,600
10/2006;100,500;100,100;100,900
11/2006;103,100;104,100;101,900
12/2006;105,200;105,700;104,800
01/2007;104,600;103,700;105,500
02/2007;107,700;109,000;106,400
03/2007;109,600;110,300;108,700
04/2007;110,800;111,900;109,700
05/2007;111,600;114,100;108,900
06/2007;110,900;112,100;109,500
07/2007;112,800;114,600;110,800
08/2007;112,600;114,100;111,100
09/2007;113,000;114,800;110,900
10/2007;115,200;120,100;110,200
11/2007;114,100;116,900;111,200
12/2007;114,800;119,500;110,000
01/2008;113,700;117,000;110,300
02/2008;114,300;116,600;111,800
03/2008;112,400;114,200;110,500
04/2008;111,600;114,500;108,600
05/2008;112,800;115,000;110,300
06/2008;114,900;116,500;113,100
07/2008;114,000;117,400;110,400
08/2008;114,500;115,100;113,600
09/2008;111,400;112,700;110,100
10/2008;102,100;106,800;97,600
11/2008;82,900;83,700;82,400
12/2008;73,700;72,400;75,500
01/2009;75,300;73,200;77,600
02/2009;76,000;73,600;78,500
03/2009;78,800;76,600;81,200
04/2009;83,800;80,500;87,400
05/2009;88,700;87,100;90,300
06/2009;93,200;92,200;94,300
07/2009;97,500;95,600;99,600
08/2009;101,300;100,500;102,100
09/2009;105,500;104,500;106,500
10/2009;109,600;108,200;110,800
11/2009;111,300;109,700;112,700
12/2009;113,000;111,200;114,600
01/2010;113,600;111,800;115,200
02/2010;115,200;113,300;116,900
03/2010;115,700;115,200;116,200
04/2010;115,700;117,500;113,800
05/2010;116,500;118,400;114,200
06/2010;114,700;114,800;114,500
07/2010;113,000;113,500;112,400
08/2010;113,200;114,200;111,900
09/2010;113,800;114,000;113,400
10/2010;113,600;114,800;112,200
11/2010;111,700;113,300;110,100
12/2010;112,200;113,900;110,500
01/2011;111,200;110,700;111,600
02/2011;111,600;111,800;111,300
03/2011;112,600;112,900;112,300
04/2011;111,500;111,900;110,900
05/2011;110,200;110,300;110,100
06/2011;108,000;107,400;108,500
07/2011;104,600;104,700;104,500
08/2011;102,600;100,800;104,300
09/2011;100,400;99,600;101,100
10/2011;101,600;101,200;101,900
11/2011;100,200;98,200;102,100
12/2011;101,000;99,500;102,500
01/2012;103,700;103,300;104,000
02/2012;102,500;103,200;101,600
03/2012;101,600;101,600;101,700
04/2012;101,000;99,000;103,000
05/2012;101,700;99,200;104,300
06/2012;100,700;99,200;102,300
07/2012;99,900;96,400;103,300
08/2012;103,300;102,900;103,700
09/2012;104,600;104,100;105,100
10/2012;106,100;107,200;104,800
11/2012;104,100;104,400;103,700
12/2012;105,800;105,200;106,200
01/2013;107,100;108,600;105,400
02/2013;105,800;106,000;105,500
03/2013;105,200;104,300;106,000
04/2013;105,500;104,100;106,800
05/2013;106,000;105,600;106,200
06/2013;104,900;104,700;105,100
07/2013;100,700;101,100;100,200
08/2013;101,500;102,300;100,700
09/2013;101,300;102,300;100,500
10/2013;99,700;101,100;98,300
11/2013;99,300;100,100;98,400
12/2013;99,800;99,800;99,700
01/2014;100,100;101,300;98,900
02/2014;98,300;99,500;97,300
03/2014;97,600;97,000;98,400
04/2014;97,000;97,200;96,900
05/2014;92,200;92,300;92,200
06/2014;88,900;89,000;88,800
07/2014;87,800;87,900;88,100
08/2014;85,400;83,700;87,200
09/2014;85,700;85,300;86,400
10/2014;86,600;85,100;88,300
11/2014;87,500;88,100;87,200
12/2014;86,900;87,000;86,900
01/2015;87,400;89,100;86,100
02/2015;86,100;86,500;85,800
03/2015;80,300;80,900;80,100
04/2015;78,200;79,500;77,000
05/2015;76,400;78,300;75,000
06/2015;72,700;73,900;71,800
07/2015;74,500;74,300;74,900
08/2015;72,800;71,000;74,900
09/2015;73,300;74,300;72,700
10/2015;76,000;74,100;78,100
11/2015;75,100;74,100;76,400
12/2015;76,300;75,000;77,800
01/2016;77,900;78,500;77,500
02/2016;76,000;77,500;74,900
03/2016;76,200;78,700;74,000
04/2016;78,100;80,000;76,400
05/2016;78,900;80,500;77,500
06/2016;82,100;80,800;83,500
07/2016;85,700;84,500;87,100
08/2016;85,700;84,500;87,100
09/2016;87,800;86,300;89,400
10/2016;86,100;84,900;87,400
11/2016;86,300;85,000;87,800
12/2016;84,700;83,200;86,300
01/2017;89,000;87,000;91,000
02/2017;87,800;86,400;89,300
